request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available over the next 90 days."
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000 today. This leaves at least IDR 17,304,500 available over the next 90 days."
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,1442.10,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This leaves at least EUR 1,400 available."
request_204,456.86,affordable_later,wait,2026-02-16:588.74,2026-02-16,none,"Wait until 16 February 2026, then pay EUR 588.74 in full. Paying earlier would take the balance below the EUR 1,300 minimum."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 900 available."
request_207,4072.17,affordable_later,wait,2026-07-16:11830,2026-07-16,none,"Wait until 16 July 2026, then pay ZAR 11,830 in full. Paying earlier would take the balance below the ZAR 13,600 minimum."
request_208,2745159.91,affordable_later,wait,2024-06-16:4413000,2024-06-16,none,"Wait until 16 June 2024, then pay IDR 4,413,000 in full. Paying earlier would take the balance below the IDR 10,470,700 minimum."
request_209,1409.67,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 18,400 minimum protected."
request_210,965.41,affordable_with_plan,partial_payment,2026-04-06:965.41|2026-04-16:394.61,2026-04-16,none,"Pay USD 965.41 today, then pay USD 394.61 on 16 April 2026. This keeps the USD 2,000 minimum protected."
request_211,224.43,affordable_later,wait,2024-11-16:1788.60,2024-11-16,none,"Wait until 16 November 2024, then pay EUR 1,788.6 in full. Paying earlier would take the balance below the EUR 1,500 minimum."
request_212,1203429.57,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 February 2025. None of the available options keeps the IDR 29,579,800 minimum protected."
request_213,1906.83,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 March 2026. None of the available options keeps the USD 2,100 minimum protected."
request_214,25519.03,not_affordable,not_recommended,none,2025-02-16,none,"Do not make this payment by 28 January 2025. None of the available options keeps the INR 174,900 minimum protected."
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10,395.15, starting 9 May 2025. This leaves at least ZAR 15,700 available."
request_216,343.51,affordable_later,wait,2026-09-16:3332.40,2026-09-16,none,"Wait until 16 September 2026, then pay USD 3,332.4 in full. Paying earlier would take the balance below the USD 1,800 minimum."
request_217,17129.13,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 May 2024. None of the available options keeps the ZAR 26,800 minimum protected."
request_218,23018720.46,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-16,none,"Use 3 installments of IDR 21,195,893.33, starting 7 August 2025. This leaves at least IDR 34,477,200 available."
request_219,628.87,not_affordable,not_recommended,none,2026-05-16,none,"Do not make this payment by 13 June 2026. None of the available options keeps the EUR 1,100 minimum protected."
request_220,38.56,not_affordable,not_recommended,none,,none,"Do not make this payment by 3 July 2024. None of the available options keeps the EUR 1,100 minimum protected."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 27,300 available over the next 90 days."
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.7 today. This leaves at least EUR 800 available over the next 90 days.
request_224,7481708.21,not_affordable,not_recommended,none,2025-04-16,none,"Do not make this payment by 16 March 2025. None of the available options keeps the IDR 22,187,600 minimum protected."
request_225,9195624.30,not_affordable,not_recommended,none,2026-09-16,none,"Do not make this payment by 21 September 2026. None of the available options keeps the IDR 17,670,700 minimum protected."
request_226,118218.15,affordable_later,wait,2025-02-21:157000,2025-02-21,none,"Wait until 21 February 2025, then pay INR 157,000 in full. Paying earlier would take the balance below the INR 209,400 minimum."
request_227,6375.74,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 June 2025. None of the available options keeps the INR 62,900 minimum protected."
request_228,858461.94,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 April 2026. None of the available options keeps the IDR 26,191,200 minimum protected."
request_229,407.13,not_affordable,not_recommended,none,2024-05-16,none,"Do not make this payment by 23 May 2024. None of the available options keeps the EUR 1,000 minimum protected."
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.6 today. This leaves at least EUR 2,000 available over the next 90 days."
request_231,27639.58,not_affordable,not_recommended,none,2026-03-16,none,"Do not make this payment by 17 March 2026. None of the available options keeps the ZAR 24,300 minimum protected."
request_232,158.15,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 2,400 minimum protected."
request_233,3525655.68,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 17 December 2025. None of the available options keeps the IDR 10,365,700 minimum protected."
request_234,170.51,affordable_later,wait,2026-09-16:1213.30,2026-09-16,none,"Wait until 16 September 2026, then pay EUR 1,213.3 in full. Paying earlier would take the balance below the EUR 700 minimum."
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.2 today. This leaves at least USD 700 available over the next 90 days.
request_236,4773923.82,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 February 2025. None of the available options keeps the IDR 16,768,600 minimum protected."
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23,826,000 today. This leaves at least IDR 22,431,500 available over the next 90 days."
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 7 December 2024. This leaves at least USD 700 available."
request_239,589.83,affordable_later,wait,2025-06-16:642,2025-06-16,none,"Wait until 16 June 2025, then pay USD 642 in full. Paying earlier would take the balance below the USD 600 minimum."
request_240,8362.05,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. None of the available options keeps the INR 52,800 minimum protected."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7,298,026.67, starting 17 March 2024. This leaves at least IDR 19,252,000 available."
request_242,10.37,not_affordable,not_recommended,none,,none,Do not make this payment by 25 August 2025. None of the available options keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 19,900 available over the next 90 days."
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918 today. This leaves at least ZAR 45,900 available over the next 90 days."
request_245,18387.82,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the INR 94,600 minimum protected."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 3 April 2026. This leaves at least ZAR 39,300 available."
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.3 today. This leaves at least EUR 1,300 available over the next 90 days."
request_248,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 April 2025. None of the available options keeps the USD 1,300 minimum protected."
request_249,117.15,affordable_later,wait,2026-03-16:643.20,2026-03-16,none,"Wait until 16 March 2026, then pay USD 643.2 in full. Paying earlier would take the balance below the USD 600 minimum."
request_250,14854.11,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 January 2025. None of the available options keeps the ZAR 35,300 minimum protected."
request_251,451.23,not_affordable,not_recommended,none,,none,"Do not make this payment by 6 June 2025. None of the available options keeps the EUR 1,300 minimum protected."
request_252,3391083.65,affordable_later,wait,2026-09-16:28082000,2026-09-16,none,"Wait until 16 September 2026, then pay IDR 28,082,000 in full. Paying earlier would take the balance below the IDR 15,152,200 minimum."
request_253,1323.51,not_affordable,not_recommended,none,2024-05-16,none,"Do not make this payment by 1 June 2024. None of the available options keeps the EUR 2,300 minimum protected."
request_254,488.77,affordable_later,wait,2025-10-16:3535.20,2025-10-16,none,"Wait until 16 October 2025, then pay USD 3,535.2 in full. Paying earlier would take the balance below the USD 2,500 minimum."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3,345,000 today. This leaves at least IDR 9,813,900 available over the next 90 days."
request_256,141642.74,not_affordable,not_recommended,none,2024-08-16,none,"Do not make this payment by 19 August 2024. None of the available options keeps the INR 168,600 minimum protected."
request_257,208.45,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the USD 1,600 minimum protected."
request_258,1010.68,not_affordable,not_recommended,none,,none,Do not make this payment by 22 January 2026. None of the available options keeps the USD 500 minimum protected.
request_259,203.36,affordable_later,wait,2024-11-16:935,2024-11-16,none,"Wait until 16 November 2024, then pay EUR 935 in full. Paying earlier would take the balance below the EUR 600 minimum."
request_260,5561142.46,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 April 2025. None of the available options keeps the IDR 20,727,700 minimum protected."
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.4 today. This leaves at least EUR 1,500 available over the next 90 days."
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000 today. This leaves at least IDR 31,018,500 available over the next 90 days."
request_263,5077.51,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 June 2025. None of the available options keeps the ZAR 24,100 minimum protected."
request_264,22118.62,affordable_later,wait,2026-06-16:111300,2026-06-16,none,"Wait until 16 June 2026, then pay INR 111,300 in full. Paying earlier would take the balance below the INR 59,500 minimum."
request_265,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 March 2024. None of the available options keeps the INR 189,700 minimum protected."
request_266,761.64,not_affordable,not_recommended,none,2025-10-16,none,Do not make this payment by 3 October 2025. None of the available options keeps the EUR 900 minimum protected.
request_267,1531.28,not_affordable,not_recommended,none,2026-03-16,none,"Do not make this payment by 17 March 2026. None of the available options keeps the EUR 1,500 minimum protected."
request_268,1017.20,not_affordable,not_recommended,none,2024-07-16,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,400 minimum protected."
request_269,9197.67,affordable_later,wait,2026-01-16:15490,2026-01-16,none,"Wait until 16 January 2026, then pay ZAR 15,490 in full. Paying earlier would take the balance below the ZAR 23,100 minimum."
request_270,87.34,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 August 2026. None of the available options keeps the USD 1,400 minimum protected."
request_271,4040.34,affordable_later,wait,2024-11-21:91300,2024-11-21,none,"Wait until 21 November 2024, then pay INR 91,300 in full. Paying earlier would take the balance below the INR 58,200 minimum."
request_272,5315290.67,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-16,none,"Use 3 installments of IDR 4,709,466.67, starting 12 February 2025. This leaves at least IDR 7,508,600 available."
request_273,9192347.08,affordable_with_plan,partial_payment,2026-04-07:9192347.08|2026-04-16:6668652.92,2026-04-16,none,"Pay IDR 9,192,347.08 today, then pay IDR 6,668,652.92 on 16 April 2026. This keeps the IDR 18,774,600 minimum protected."
request_274,1984.29,not_affordable,not_recommended,none,2025-02-16,none,"Do not make this payment by 11 February 2025. None of the available options keeps the EUR 1,800 minimum protected."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000 today. This leaves at least IDR 12,760,100 available over the next 90 days."
